,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Samarai,91,PG,1556484981,95,-10.62,150.67,75.72,3.87
377,Renfrew,75,GB,1556484904,87,55.88,-4.39,51.01,4.7
378,Saint-Leu,0,RE,1556484959,61,-21.15,55.28,77.0,5.82
379,Lazaro Cardenas,75,MX,1556484528,11,28.39,-105.62,87.8,9.17
380,Lompoc,90,US,1556484705,82,34.64,-120.46,66.0,8.05
381,Boyabat,96,TR,1556484992,80,41.47,34.77,51.24,4.29
382,Namibe,1,AO,1556484994,78,-15.19,12.15,72.48,10.96
383,Ahuimanu,75,US,1556484785,73,21.44,-157.84,79.0,4.7
384,Tessalit,0,ML,1556484999,9,20.2,1.01,90.66,7.63
385,Merauke,100,ID,1556485001,77,-8.49,140.4,83.82,22.73
386,Bintulu,75,MY,1556481600,94,3.17,113.03,75.2,3.36
387,Jijiga,30,ET,1556485005,82,9.35,42.8,62.94,3.36
388,Puerto Escondido,5,MX,1556480700,66,15.86,-97.07,86.0,11.41
389,Rome,0,IT,1556484673,81,41.89,12.48,57.2,4.7
390,Sioux Lookout,75,CA,1556481600,38,50.1,-91.92,42.8,6.93
391,Kulhudhuffushi,100,MV,1556485014,78,6.62,73.07,85.44,13.82
392,Koungheul,41,SN,1556485016,15,13.98,-14.8,105.42,7.78
393,Kibaya,75,RW,1556483400,83,-2.2,30.56,69.8,5.82
394,Darnah,0,LY,1556484902,80,32.77,22.64,64.38,11.01
395,Vanimo,100,PG,1556485022,76,-2.67,141.3,82.56,6.2
396,Murgab,75,TM,1556481600,67,37.5,61.97,60.8,6.93
397,Sorong,97,ID,1556485027,95,-0.86,131.25,76.8,1.45
398,Wukari,35,NG,1556485029,47,7.87,9.78,90.48,5.97
399,Huizhou,0,CN,1556485031,78,23.11,114.41,78.42,3.65
400,Aasiaat,0,GL,1556485033,80,68.71,-52.87,33.96,5.79
401,Tank,0,PK,1556485035,23,32.22,70.39,67.44,1.92
402,Georgiyevka,0,RU,1556485037,59,52.25,40.45,43.14,11.3
403,Palmer,20,AU,1556484978,87,-34.85,139.16,53.01,4.7
404,Havre,90,US,1556484441,86,48.55,-109.68,30.99,31.09
405,Chicama,40,PE,1556481600,78,-7.84,-79.15,71.6,13.87
406,Juneau,40,US,1556485031,50,58.3,-134.42,52.0,10.29
407,Zapolyarnyy,40,RU,1556482800,64,69.43,30.82,37.4,6.93
408,Port Hedland,69,AU,1556483400,68,-20.31,118.58,71.6,8.05
409,Te Anau,97,NZ,1556485053,94,-45.41,167.72,41.16,5.86
410,Maibong,0,IN,1556485055,86,25.3,93.13,73.2,2.48
411,Astaneh-ye Ashrafiyeh,0,IR,1556481600,93,37.26,49.94,59.0,0.43
412,Yarmouth,0,GB,1556485027,70,50.71,-1.5,53.6,4.38
413,Ennis,20,IE,1556483400,87,52.84,-8.98,53.6,2.24
414,Bilibino,27,RU,1556485063,93,68.06,166.44,18.12,1.32
415,La Ronge,20,CA,1556481600,32,55.1,-105.3,39.2,11.41
416,Humaita,0,AR,1556481600,49,-24.93,-65.37,73.4,8.05
417,Banjar,85,ID,1556485070,96,-7.37,108.54,73.74,1.59
418,Taunggyi,25,MM,1556485072,55,20.78,97.03,72.3,4.85
419,Ratnagiri,99,IN,1556485074,88,16.98,73.3,83.82,8.55
420,Askiz,22,RU,1556485076,78,53.13,90.53,35.58,12.66
421,Arvika,40,SE,1556484668,54,59.65,12.59,57.2,9.17
422,Shimoda,75,JP,1556484414,82,34.7,138.93,55.4,3.36
423,Gunjur,0,GM,1556481600,73,13.18,-16.76,73.4,9.17
424,Trapani,0,IT,1556485083,77,38.02,12.54,66.0,6.93
425,Marystown,0,CA,1556485087,71,47.17,-55.16,44.58,10.04
426,Turukhansk,46,RU,1556485089,97,65.8,87.96,-1.32,2.3
427,San Andres,80,PH,1556485092,90,13.32,122.68,76.26,4.9
428,Ngerengere,100,TZ,1556485094,93,-6.76,38.13,74.28,3.06
429,Eureka,1,US,1556484818,66,40.8,-124.16,71.01,13.87
430,Coahuayana,100,MX,1556485098,11,18.62,-100.35,105.06,4.63
431,Springbok,2,ZA,1556485100,47,-29.67,17.88,66.54,1.03
432,Sayyan,0,YE,1556485102,51,15.17,44.32,73.38,3.0
433,Shaunavon,100,CA,1556485105,91,49.65,-108.41,28.02,22.32
434,Mount Darwin,37,ZW,1556485107,76,-16.77,31.58,64.74,1.16
435,Udachnyy,40,RU,1556481600,77,66.42,112.4,1.4,6.71
436,Balkhash,0,KZ,1556485111,52,46.84,74.98,53.94,6.31
437,Aberdeen,90,US,1556484913,49,45.47,-98.49,48.2,24.16
438,Xiongzhou,90,CN,1556485106,93,32.34,118.83,60.01,2.24
439,Maldonado,0,UY,1556481600,68,-34.91,-54.96,66.2,5.82
440,Padang,51,ID,1556485120,67,-0.92,100.36,83.46,4.43
441,Sanmenxia,1,CN,1556485122,92,34.77,111.19,45.3,4.14
442,Buraydah,0,SA,1556481600,60,26.33,43.97,75.2,8.05
443,Kingaroy,0,AU,1556484917,93,-26.54,151.84,57.0,6.06
444,Tanout,23,NE,1556485128,7,14.97,8.88,87.96,10.51
445,Masvingo,0,ZW,1556485131,73,-20.08,30.83,62.4,3.96
446,Nacala,100,MZ,1556485133,97,-14.56,40.69,73.2,7.0
447,Pokhara,0,NP,1556485135,26,28.21,83.99,55.2,5.46
448,Khasan,0,RU,1556485137,83,42.43,130.64,42.96,1.43
449,Murmashi,75,RU,1556483400,55,68.82,32.82,35.6,6.71
450,Ler,0,NO,1556484916,62,63.2,10.3,57.0,2.24
451,Malaryta,100,BY,1556485143,90,51.79,24.08,57.72,8.52
452,Cadillac,1,US,1556485086,17,44.25,-85.4,55.99,5.82
453,Saint-Augustin,75,FR,1556484642,81,44.83,-0.61,53.01,3.36
454,Sobolevo,0,RU,1556485150,57,54.43,31.9,45.66,12.26
455,Chabahar,0,IR,1556485152,22,25.29,60.65,89.58,10.09
456,Lipin Bor,12,RU,1556485154,73,60.26,37.97,28.2,4.27
457,Ikom,100,NG,1556485156,87,5.96,8.72,78.24,3.87
458,Boke,0,GN,1556485159,62,10.95,-14.28,81.66,7.23
459,Evensk,0,RU,1556485161,49,61.92,159.24,28.56,6.29
460,Savinka,100,RU,1556485163,83,50.08,47.1,51.96,18.12
461,Camara de Lobos,20,PT,1556485084,63,32.63,-16.97,64.4,9.17
462,Mar del Plata,20,AR,1556484917,34,-46.43,-67.52,57.18,33.69
463,Gizo,0,IL,1556485112,52,31.8,34.94,68.0,3.36
464,Tolga,20,DZ,1556481600,31,34.73,5.38,73.4,5.82
465,Surt,100,LY,1556485174,89,31.21,16.59,63.48,10.8
466,Oistins,40,BB,1556481600,66,13.07,-59.53,86.0,16.11
467,Yar-Sale,31,RU,1556485178,92,66.83,70.83,1.38,5.66
468,Boyolangu,75,ID,1556485180,90,-8.09,111.9,72.12,0.47
469,Nabire,100,ID,1556485182,99,-3.36,135.5,72.3,0.63
470,Cockburn Town,100,TC,1556484908,79,21.46,-71.14,79.86,16.02
471,Chipinge,0,ZW,1556485186,79,-20.19,32.62,63.12,4.54
472,Tateyama,89,JP,1556485092,97,36.66,137.31,46.0,1.79
473,Santa Fe,0,AR,1556484940,65,-31.62,-60.7,71.01,3.0
474,Teya,75,MX,1556484411,30,21.05,-89.07,100.0,6.93
475,Tabou,100,CI,1556485196,92,4.42,-7.36,78.6,2.57
476,Guerrero Negro,7,MX,1556485198,88,27.97,-114.04,59.88,10.36
477,Huinan,0,CN,1556485200,82,42.68,126.04,42.06,5.28
478,Bouloupari,75,NC,1556483400,94,-21.87,166.05,68.0,4.7
479,Nieuw Amsterdam,20,SR,1556484311,62,5.88,-55.08,87.8,13.87
480,Kourou,75,GF,1556483400,70,5.16,-52.64,84.2,11.41
481,Kantunilkin,40,MX,1556484781,70,21.1,-87.49,84.2,12.75
482,Dawlatabad,100,AF,1556485217,31,36.41,64.91,59.16,6.13
483,Vila Franca do Campo,40,PT,1556483400,93,37.72,-25.43,60.8,9.17
484,Karratha,68,AU,1556485208,39,-20.74,116.85,77.16,9.64
485,Sistranda,0,NO,1556484940,93,63.73,8.83,54.0,3.36
486,Bourail,2,NC,1556485227,82,-21.57,165.5,69.78,8.3
487,Rio Grande,20,BR,1556481600,68,-32.03,-52.1,69.8,16.11
488,Pangody,0,RU,1556485231,100,65.85,74.49,-5.28,5.61
489,Taoudenni,0,ML,1556485233,5,22.68,-3.98,91.74,6.64
490,Mocuba,5,MZ,1556485236,98,-16.84,36.99,67.26,3.56
491,Ginda,0,IN,1556485238,22,30.69,78.49,54.84,7.0
492,Ada,90,US,1556485098,31,47.3,-96.52,50.0,16.11
493,Kautokeino,1,NO,1556485243,86,69.01,23.04,30.72,7.7
494,Ryotsu,46,JP,1556481600,81,38.08,138.43,42.8,2.24
495,Lucapa,23,AO,1556485247,64,-8.42,20.74,73.92,2.71
496,Gushikawa,75,JP,1556484787,83,26.35,127.87,77.0,17.22
497,Baykit,81,RU,1556485252,91,61.68,96.39,15.6,5.46
498,Salina Cruz,0,MX,1556485254,39,16.18,-95.2,92.46,9.35
499,Raudeberg,0,NO,1556485213,81,61.99,5.14,57.2,3.36
500,Shieli,7,KZ,1556485258,33,44.18,66.74,65.64,7.2
501,Zhanakorgan,1,KZ,1556485260,41,43.91,67.25,64.74,5.88
502,Rocha,3,UY,1556485262,87,-34.48,-54.34,61.14,3.76
503,Marawi,100,PH,1556484433,92,8.0,124.29,75.0,5.01
504,Minbu,32,MM,1556485267,60,20.18,94.88,80.22,9.1
505,La Asuncion,80,EC,1556485269,79,-1.64,-78.74,54.66,2.57
506,Tura,6,IN,1556485271,92,25.52,90.21,77.52,9.01
507,Navrongo,86,GH,1556485274,38,10.89,-1.09,96.42,3.69
508,Poum,51,MK,1556485276,74,41.28,20.71,42.96,2.13
509,Eskil,78,TR,1556485278,56,38.4,33.41,60.06,5.44
510,Ucluelet,20,CA,1556485252,58,48.94,-125.55,61.0,6.93
511,Wenling,79,CN,1556485226,98,28.38,121.38,64.99,5.99
512,Natal,20,BR,1556485200,74,-5.81,-35.21,84.2,13.87
513,Fortuna,0,ES,1556485241,72,38.18,-1.13,64.99,3.8
514,Khandbari,12,NP,1556485289,79,27.38,87.21,51.6,1.77
515,Wenatchee,90,US,1556484418,26,47.42,-120.31,59.0,6.93
516,Zeya,93,RU,1556485293,55,53.74,127.27,37.92,1.61
517,Novobiryusinskiy,29,RU,1556485296,79,56.96,97.71,28.02,7.4
518,Gusau,74,NG,1556485298,7,12.17,6.66,93.18,8.79
519,Rock Hill,75,US,1556485142,32,34.92,-81.03,86.0,6.93
520,Batagay,47,RU,1556485302,80,67.65,134.64,29.82,4.27
521,Ixtapa,75,MX,1556485277,65,20.71,-105.21,82.4,11.41
522,Mendi,63,ET,1556485307,49,9.8,35.1,76.26,3.58
523,Songkhla,40,TH,1556483400,88,7.2,100.6,80.6,3.8
524,Vredendal,0,ZA,1556485311,73,-31.68,18.49,64.38,2.66
525,Goderich,33,CA,1556485302,71,43.74,-81.71,46.99,13.0
526,Sanghar,0,PK,1556481600,54,28.18,68.31,84.2,7.05
527,Harnosand,27,SE,1556485219,86,62.63,17.94,39.2,3.36
528,Cruzeiro do Sul,40,BR,1556481600,88,-7.63,-72.67,80.6,3.36
529,Tangshan,59,CN,1556485322,60,39.63,118.17,51.78,5.06
530,Taltal,0,CL,1556485324,65,-25.41,-70.49,69.24,6.11
531,Koshurnikovo,94,RU,1556485326,89,54.3,93.39,34.14,9.64
532,Sohag,0,EG,1556481600,17,26.55,31.7,82.4,5.82
533,Tsaratanana,99,MG,1556485331,83,-16.8,47.65,70.5,9.51
534,Rimbey,75,CA,1556483580,64,52.64,-114.24,33.8,13.87
535,Jalu,79,LY,1556485335,32,29.03,21.55,78.78,16.51
536,Dekernes,0,EG,1556481600,64,31.09,31.59,69.8,12.75
537,Bodinayakkanur,98,IN,1556485339,98,10.01,77.35,69.78,0.38
538,Kizukuri,100,JP,1556485209,80,40.81,140.39,46.0,18.9
539,Frederico Westphalen,9,BR,1556485344,81,-27.36,-53.4,65.82,4.97
540,Port Hardy,20,CA,1556481600,71,50.7,-127.42,50.0,6.93
541,Honningsvag,0,NO,1556482800,82,70.98,25.97,39.2,6.93
542,Cabano,90,CA,1556485336,48,47.68,-68.89,44.6,16.11
543,Barentu,39,ER,1556485352,10,15.11,37.59,87.42,5.68
544,Deputatskiy,94,RU,1556485355,86,69.3,139.9,20.28,3.04
545,Fukue,75,JP,1556485238,76,35.03,136.69,57.0,5.82
546,Banepa,20,NP,1556482800,88,27.63,85.52,69.8,3.36
547,Kloulklubed,90,PW,1556481000,83,7.04,134.26,80.6,11.41
548,Ferrol,0,ES,1556485357,77,43.48,-8.23,61.0,2.24
549,Eyl,35,SO,1556485091,60,7.98,49.82,79.32,6.04
550,Lampang,26,TH,1556485367,39,18.29,99.49,78.96,2.53
551,Consett,12,GB,1556485304,100,54.85,-1.83,48.2,5.82
552,Umm Kaddadah,2,SD,1556485372,10,13.6,26.69,81.12,11.97
